=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_gru.pth ===
[2026-03-16 23:43:53] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=6 train_loss=0.004680 val_loss=0.010254 lr=0.00100000 best_val=0.010254
[2026-03-16 23:44:04] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=7 train_loss=0.004559 val_loss=0.010620 lr=0.00100000 best_val=0.010254
[2026-03-16 23:44:16] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=8 train_loss=0.004456 val_loss=0.010309 lr=0.00100000 best_val=0.010254
[2026-03-16 23:44:27] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=9 train_loss=0.004366 val_loss=0.010532 lr=0.00100000 best_val=0.010254
[2026-03-16 23:44:38] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=10 train_loss=0.004276 val_loss=0.010621 lr=0.00100000 best_val=0.010254
[2026-03-16 23:44:50] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=11 train_loss=0.004201 val_loss=0.010488 lr=0.00100000 best_val=0.010254
[2026-03-16 23:45:01] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=12 train_loss=0.004137 val_loss=0.010696 lr=0.00050000 best_val=0.010254
[2026-03-16 23:45:13] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=13 train_loss=0.003911 val_loss=0.010535 lr=0.00050000 best_val=0.010254
[2026-03-16 23:45:25] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=14 train_loss=0.003874 val_loss=0.010252 lr=0.00050000 best_val=0.010252
[2026-03-16 23:45:36] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=15 train_loss=0.003856 val_loss=0.010600 lr=0.00050000 best_val=0.010252
[2026-03-16 23:45:47] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=16 train_loss=0.003819 val_loss=0.010477 lr=0.00050000 best_val=0.010252
[2026-03-16 23:45:59] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=17 train_loss=0.003798 val_loss=0.010537 lr=0.00050000 best_val=0.010252
[2026-03-16 23:46:11] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=18 train_loss=0.003779 val_loss=0.010513 lr=0.00050000 best_val=0.010252
[2026-03-16 23:46:22] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=19 train_loss=0.003756 val_loss=0.010495 lr=0.00050000 best_val=0.010252
[2026-03-16 23:46:34] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=20 train_loss=0.003734 val_loss=0.010344 lr=0.00025000 best_val=0.010252
[2026-03-16 23:46:45] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=21 train_loss=0.003635 val_loss=0.010392 lr=0.00025000 best_val=0.010252
[2026-03-16 23:46:57] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=22 train_loss=0.003617 val_loss=0.010388 lr=0.00025000 best_val=0.010252
