IQR (Interquartile Range, interkvartilové rozpětí) je míra variability dat, která ukazuje, jak „rozptýlená“ jsou hodnoty kolem středu souboru.

BEZ ATTENTION
Test Loss: 0.016015
[50] SSA 4 Schacht vacuum 30cm kPa -> RMSE: 0.0568, MAE: 0.0213, R^2: 0.1339
[51] SSA 4 Schacht vacuum 75cm kPa -> RMSE: 0.0370, MAE: 0.0139, R^2: 0.1160
[52] URB Lysimeter discharge (1) l -> RMSE: 0.0056, MAE: 0.0045, R^2: 0.0000
[53] URB Lysimeter inside temperature degC -> RMSE: 0.0620, MAE: 0.0287, R^2: 0.2644
[54] URB Lysimeter inside tension kPa -> RMSE: 0.0712, MAE: 0.0313, R^2: -0.0424
[55] URB Lysimeter level cm -> RMSE: 0.1460, MAE: 0.0817, R^2: -0.0853
[56] URB Lysimeter level reference cm -> RMSE: 0.1339, MAE: 0.0618, R^2: 0.0384
[57] URB Lysimeter outside temperature degC -> RMSE: 0.0603, MAE: 0.0271, R^2: 0.3156
[58] URB Lysimeter outside tension kPa -> RMSE: 0.0685, MAE: 0.0316, R^2: 0.0921
[59] URB Lysimeter outside tension reference kPa -> RMSE: 0.0805, MAE: 0.0327, R^2: 0.1106
[60] URB Lysimeter percolation pump mV -> RMSE: 0.1269, MAE: 0.0507, R^2: 0.3004
[61] URB Lysimeter temperature control mV -> RMSE: 0.1220, MAE: 0.0541, R^2: 0.1151
[62] URB Lysimeter vacuum kPa -> RMSE: 0.0702, MAE: 0.0332, R^2: 0.2191
[63] Weather Station UMP (1) % -> RMSE: 0.1134, MAE: 0.0516, R^2: 0.0635
[64] Weather Station UMP (1) ec mS/cm -> RMSE: 0.1448, MAE: 0.0855, R^2: 0.0942
[65] Weather Station UMP (1) temperature degC -> RMSE: 0.1008, MAE: 0.0566, R^2: 0.0698
[66] Weather Station air pressure hPa -> RMSE: 0.1209, MAE: 0.0575, R^2: -0.0060
[67] Weather Station air temperature degC -> RMSE: 0.0713, MAE: 0.0436, R^2: 0.0198
[68] Weather Station battery V -> RMSE: 0.1005, MAE: 0.0500, R^2: -0.1103
[69] Weather Station humidity % -> RMSE: 0.0803, MAE: 0.0531, R^2: -0.3614
[70] Weather Station precipitation mm -> RMSE: 0.0163, MAE: 0.0149, R^2: 0.0000
[71] Weather Station radiation W/qm -> RMSE: 0.1127, MAE: 0.0528, R^2: 0.0456
[72] Weather Station temperature (5+) degC -> RMSE: 0.0760, MAE: 0.0419, R^2: 0.0233
[73] Weather Station wind direction deg -> RMSE: 0.1350, MAE: 0.0622, R^2: -0.0869
[74] Weather Station wind speed m/s -> RMSE: 0.1315, MAE: 0.0567, R^2: -0.0132
(venv) PS F:\vyska\Master\diplomovka>









